from,to,reason
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\54789481-cup-of-water-pour-into-glass-cup-water-flows-into-glass-water-490991 (1).mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\glass_extra\54789481-cup-of-water-pour-into-glass-cup-water-flows-into-glass-water-490991 (1).mp3,delete (duplicate / unsuitable)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\54789481-cup-of-water-pour-into-glass-cup-water-flows-into-glass-water-490991.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Background Noise\54789481-cup-of-water-pour-into-glass-cup-water-flows-into-glass-water-490991.mp3,Background Noise (glass look-alike)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\arunangshubanerjee-cutting-glass-sheet-short-glass-scoring-sound-358250.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Background Noise\arunangshubanerjee-cutting-glass-sheet-short-glass-scoring-sound-358250.mp3,Background Noise (glass look-alike)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\derrickmckinnon-pouring-soda-in-glass-220307 (1).mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\glass_extra\derrickmckinnon-pouring-soda-in-glass-220307 (1).mp3,delete (duplicate / unsuitable)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\derrickmckinnon-pouring-soda-in-glass-220307 (2).mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\glass_extra\derrickmckinnon-pouring-soda-in-glass-220307 (2).mp3,delete (duplicate / unsuitable)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\derrickmckinnon-pouring-soda-in-glass-220307.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Background Noise\derrickmckinnon-pouring-soda-in-glass-220307.mp3,Background Noise (glass look-alike)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\dragon-studio-glass-breaking-511313 (1).mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\glass_extra\dragon-studio-glass-breaking-511313 (1).mp3,delete (duplicate / unsuitable)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\floraphonic-empty-glass-table-foley-slide-9-237635.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Background Noise\floraphonic-empty-glass-table-foley-slide-9-237635.mp3,Background Noise (glass look-alike)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\freesound_community-breaking-glass-83809 (1).mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\glass_extra\freesound_community-breaking-glass-83809 (1).mp3,delete (duplicate / unsuitable)
C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Glass Breaking\freesound_community-breaking-glass-with-feet-45176.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\downloads\extra\Background Noise\freesound_community-breaking-glass-with-feet-45176.mp3,Background Noise (glass look-alike)
