file,reason
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Alarm or Siren\us8k_159738-8-0-18.wav,unusable: Silent or near-silent recording; Very low signal strength (-65 dBFS)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Alarm or Siren\us8k_159738-8-0-19.wav,unusable: Silent or near-silent recording; Very low signal strength (-68 dBFS)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Alarm or Siren\us8k_159742-8-0-0.wav,unusable: Silent or near-silent recording; Very low signal strength (-75 dBFS)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Alarm or Siren\us8k_159742-8-0-1.wav,unusable: Silent or near-silent recording; Very low signal strength (-73 dBFS)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Alarm or Siren\us8k_159742-8-0-2.wav,unusable: Silent or near-silent recording; Very low signal strength (-72 dBFS)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Alarm or Siren\us8k_159742-8-0-3.wav,unusable: Silent or near-silent recording; Very low signal strength (-69 dBFS)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Alarm or Siren\us8k_159742-8-0-4.wav,unusable: Silent or near-silent recording; Very low signal strength (-65 dBFS)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Alarm or Siren\us8k_159745-8-1-6.wav,unusable: Silent or near-silent recording; Very low signal strength (-67 dBFS)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Alarm or Siren\us8k_159745-8-1-7.wav,unusable: Silent or near-silent recording; Very low signal strength (-68 dBFS)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Alarm or Siren\us8k_159747-8-0-20.wav,unusable: Silent or near-silent recording; Very low signal strength (-71 dBFS)
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Alarm or Siren\us8k_159747-8-0-21.wav,unusable: Silent or near-silent recording; Very low signal strength (-73 dBFS)
