audio_id,label,action
AUD-005487,"Background Noise","delete"
AUD-005544,"Background Noise","move:Gunshot"
AUD-005607,"Background Noise","delete"
AUD-005611,"Background Noise","delete"
AUD-000693,"Alarm or Siren","move:Alarm or Siren"
AUD-000605,"Glass Breaking","move:Glass Breaking"
AUD-005639,"Background Noise","move:Background Noise"
AUD-005678,"Background Noise","delete"
AUD-005073,"Aggression","move:Aggression"
AUD-005081,"Aggression","move:Aggression"
AUD-005153,"Aggression","move:Aggression"
AUD-005154,"Aggression","move:Aggression"
AUD-005177,"Aggression","delete"
AUD-005182,"Aggression","delete"
AUD-005011,"Aggression","delete"
AUD-005013,"Aggression","move:Aggression"
AUD-005022,"Aggression","move:Aggression"
AUD-005024,"Aggression","delete"
AUD-001374,"Alarm or Siren","delete"
AUD-001427,"Alarm or Siren","delete"
AUD-001428,"Alarm or Siren","delete"
AUD-000659,"Alarm or Siren","move:Alarm or Siren"
AUD-000677,"Alarm or Siren","move:Alarm or Siren"
AUD-004910,"Aggression","move:Aggression"
AUD-004912,"Aggression","move:Aggression"
AUD-004919,"Aggression","move:Aggression"
AUD-004934,"Aggression","move:Aggression"
AUD-004582,"Panic Scream","delete"
AUD-004618,"Panic Scream","delete"
AUD-004649,"Panic Scream","delete"
AUD-004358,"Panic Scream","delete"
AUD-004373,"Panic Scream","delete"
AUD-004426,"Panic Scream","delete"
AUD-004451,"Panic Scream","delete"
AUD-004462,"Panic Scream","delete"
AUD-004466,"Panic Scream","delete"
AUD-004538,"Panic Scream","move:Panic Scream"
AUD-005904,"Background Noise","move:Animal Sound"
AUD-005913,"Background Noise","move:Background Noise"
AUD-001504,"Vehicle Horn","move:Background Noise"
AUD-004258,"Panic Scream","move:Panic Scream"
AUD-004265,"Panic Scream","delete"
AUD-004094,"Gunshot","move:Gunshot"
AUD-004131,"Panic Scream","move:Background Noise"
AUD-005994,"Background Noise","delete"
AUD-006281,"Background Noise","delete"
AUD-002759,"Animal Sound","move:Animal Sound"
AUD-003006,"Animal Sound","keep"
AUD-006290,"Background Noise","delete"
AUD-006294,"Background Noise","delete"
AUD-006298,"Background Noise","move:Panic Scream"
