pair,event,event_clips,lookalike_clips,lookalike_train_clips,event_recall,event_passed_gap,false_alarm_rate,lookalike_correct,flagged_for_review
Gunshot vs fireworks,Gunshot,320,10,29,0.99375,0.990625,0.0,1.0,0.0
Gunshot vs vehicle backfire,Gunshot,320,0,0,0.99375,0.990625,,,
Gunshot vs door slam / knock,Gunshot,320,16,23,0.99375,0.990625,0.0,1.0,0.0
Panic scream vs normal shouting / voices,Panic Scream,237,98,236,0.9367088607594937,0.9367088607594937,0.21428571428571427,0.6632653061224489,0.0
Aggression vs normal conversation,Aggression,86,46,104,0.8604651162790697,0.8837209302325582,0.021739130434782608,0.9565217391304348,0.0
Glass breaking vs metal impact,Glass Breaking,25,16,33,0.96,0.96,0.0,0.875,0.0
Alarm vs vehicle horn,Alarm or Siren,257,112,257,0.9883268482490273,0.9883268482490273,0.0,0.9821428571428571,0.0
Vehicle horn vs alarm,Vehicle Horn,115,252,593,0.9826086956521739,0.9826086956521739,0.0,0.9920634920634921,0.0
Machinery fault vs normal machinery,Machinery Fault,161,67,181,0.9813664596273292,0.9813664596273292,0.0,1.0,0.0
Help request vs ordinary speech,Person Asking for Help,66,91,213,0.9545454545454546,0.9545454545454546,0.01098901098901099,0.6703296703296703,0.0
